Day,Period,Room_CSA,Room_CSB,Room_CSC,Network_Lab_1,Network_Lab_2,Network_Lab_3,Project_Lab
Mon,P1,---,---,CST302,---,---,---,---
Mon,P2,---,---,---,---,---,---,---
Mon,P3,---,CST304,---,---,---,---,CSD334
Mon,P4,---,---,---,---,---,---,---
Mon,P5,CST304,---,---,---,---,---,---
Mon,P6,---,---,---,---,---,---,---
Tue,P1,---,---,---,---,---,---,---
Tue,P2,---,CST306,CST304,---,---,---,---
Tue,P3,CST306,CST302,---,CSL332,---,---,---
Tue,P4,---,---,---,---,---,---,---
Tue,P5,---,---,---,---,---,---,---
Tue,P6,---,---,---,---,---,---,---
Wed,P1,---,---,---,---,---,---,---
Wed,P2,CST362,---,HNT301,CSL332,---,---,---
Wed,P3,CST306,---,---,---,---,---,---
Wed,P4,HUT300,---,---,---,---,---,---
Wed,P5,---,---,---,---,---,---,---
Wed,P6,CST302,---,---,---,---,---,---
Thu,P1,CST362,---,---,---,---,---,---
Thu,P2,---,---,---,---,---,---,---
Thu,P3,CST306,---,HUT300,---,---,---,CSD334
Thu,P4,---,---,---,---,---,---,---
Thu,P5,---,---,CST302,---,---,---,---
Thu,P6,---,HUT300,---,---,---,---,CSD334
Fri,P1,---,---,---,---,---,---,---
Fri,P2,---,---,---,---,---,---,---
Fri,P3,---,---,CST362,---,CSL332,---,---
Fri,P4,---,---,---,---,---,---,---
Fri,P5,---,---,---,---,---,---,---
Fri,P6,---,CST304,---,---,---,---,---
